"","V1"
"_JohnQuincyAdams_1_97",1
"_JohnQuincyAdams_1_98",10
"_JohnQuincyAdams_1_99",10
"_JohnQuincyAdams_1_100",11
"_JohnQuincyAdams_1_101",8
"_JohnQuincyAdams_1_102",2
"_JohnQuincyAdams_1_103",2
"_JohnQuincyAdams_1_104",10
"_JohnQuincyAdams_1_105",10
"_JohnQuincyAdams_1_106",2
"_JohnQuincyAdams_1_107",5
"_JohnQuincyAdams_1_108",5
"_JohnQuincyAdams_1_109",5
"_JohnQuincyAdams_1_110",5
"_JohnQuincyAdams_1_111",5
"_AndrewJackson_1_2",5
"_AndrewJackson_1_3",5
"_AndrewJackson_1_4",7
"_AndrewJackson_1_5",5
"_AndrewJackson_1_6",7
"_AndrewJackson_1_7",14
"_AndrewJackson_1_8",7
"_AndrewJackson_1_9",12
"_AndrewJackson_1_10",12
"_AndrewJackson_1_11",12
"_AndrewJackson_1_12",12
"_AndrewJackson_1_13",2
"_AndrewJackson_1_14",11
"_AndrewJackson_1_15",11
"_AndrewJackson_1_16",11
"_AndrewJackson_1_17",11
"_AndrewJackson_1_18",13
"_AndrewJackson_1_19",13
"_AndrewJackson_1_20",13
"_AndrewJackson_1_21",7
"_AndrewJackson_1_22",14
"_AndrewJackson_1_23",5
"_AndrewJackson_1_24",5
"_AndrewJackson_1_25",5
"_AndrewJackson_1_26",5
"_AndrewJackson_1_27",5
"_AndrewJackson_2_2",5
"_AndrewJackson_2_3",5
"_AndrewJackson_2_4",14
"_AndrewJackson_2_5",2
"_AndrewJackson_2_6",2
"_AndrewJackson_2_7",2
"_AndrewJackson_2_8",7
"_AndrewJackson_2_9",7
"_AndrewJackson_2_10",7
"_AndrewJackson_2_11",7
"_AndrewJackson_2_12",7
"_AndrewJackson_2_13",7
"_AndrewJackson_2_14",7
"_AndrewJackson_2_15",7
"_AndrewJackson_2_16",7
"_AndrewJackson_2_17",4
"_AndrewJackson_2_18",11
"_AndrewJackson_2_19",11
"_AndrewJackson_2_20",11
"_AndrewJackson_2_21",1
"_AndrewJackson_2_22",15
"_AndrewJackson_2_23",2
"_AndrewJackson_2_24",5
"_AndrewJackson_2_25",1
"_AndrewJackson_2_26",2
"_AndrewJackson_2_27",6
"_AndrewJackson_2_28",6
"_AndrewJackson_2_29",9
"_AndrewJackson_2_30",9
"_AndrewJackson_2_31",5
"_AndrewJackson_2_32",5
"_AndrewJackson_2_33",7
"_AndrewJackson_2_34",7
"_AndrewJackson_2_35",3
"_AndrewJackson_2_36",5
"_MartinvanBuren_1_2",5
"_MartinvanBuren_1_3",5
"_MartinvanBuren_1_4",5
"_MartinvanBuren_1_5",5
"_MartinvanBuren_1_6",5
"_MartinvanBuren_1_7",5
"_MartinvanBuren_1_8",5
"_MartinvanBuren_1_9",5
"_MartinvanBuren_1_10",2
"_MartinvanBuren_1_11",2
"_MartinvanBuren_1_12",4
"_MartinvanBuren_1_13",7
"_MartinvanBuren_1_14",13
"_MartinvanBuren_1_15",13
"_MartinvanBuren_1_16",13
"_MartinvanBuren_1_17",13
"_MartinvanBuren_1_18",2
"_MartinvanBuren_1_19",2
"_MartinvanBuren_1_20",2
"_MartinvanBuren_1_21",2
"_MartinvanBuren_1_22",2
"_MartinvanBuren_1_23",2
"_MartinvanBuren_1_24",2
"_MartinvanBuren_1_25",2
"_MartinvanBuren_1_26",2
"_MartinvanBuren_1_27",2
"_MartinvanBuren_1_28",2
"_MartinvanBuren_1_29",8
"_MartinvanBuren_1_30",13
"_MartinvanBuren_1_31",13
"_MartinvanBuren_1_32",13
"_MartinvanBuren_1_33",4
"_MartinvanBuren_1_34",4
"_MartinvanBuren_1_35",13
"_MartinvanBuren_1_36",13
"_MartinvanBuren_1_37",2
"_MartinvanBuren_1_38",2
"_MartinvanBuren_1_39",2
"_MartinvanBuren_1_40",1
"_MartinvanBuren_1_41",2
"_MartinvanBuren_1_42",2
"_MartinvanBuren_1_43",2
"_MartinvanBuren_1_44",11
"_MartinvanBuren_1_45",11
"_MartinvanBuren_1_46",15
"_MartinvanBuren_1_47",2
"_MartinvanBuren_1_48",2
"_MartinvanBuren_1_49",8
"_MartinvanBuren_1_50",8
"_MartinvanBuren_1_51",6
"_MartinvanBuren_1_52",6
"_MartinvanBuren_1_53",10
"_MartinvanBuren_1_54",10
"_MartinvanBuren_1_55",2
"_MartinvanBuren_1_56",11
"_MartinvanBuren_1_57",2
"_MartinvanBuren_1_58",2
"_MartinvanBuren_1_59",2
"_MartinvanBuren_1_60",2
"_MartinvanBuren_1_61",1
"_MartinvanBuren_1_62",1
"_MartinvanBuren_1_63",2
"_MartinvanBuren_1_64",2
"_MartinvanBuren_1_65",2
"_MartinvanBuren_1_66",2
"_MartinvanBuren_1_67",2
"_MartinvanBuren_1_68",2
"_MartinvanBuren_1_69",2
"_MartinvanBuren_1_70",2
"_MartinvanBuren_1_71",7
"_MartinvanBuren_1_72",2
"_MartinvanBuren_1_73",6
"_MartinvanBuren_1_74",2
"_MartinvanBuren_1_75",7
"_MartinvanBuren_1_76",2
"_MartinvanBuren_1_77",12
"_MartinvanBuren_1_78",2
"_MartinvanBuren_1_79",2
"_MartinvanBuren_1_80",2
"_MartinvanBuren_1_81",2
"_MartinvanBuren_1_82",2
"_MartinvanBuren_1_83",2
"_MartinvanBuren_1_84",2
"_MartinvanBuren_1_85",2
"_MartinvanBuren_1_86",2
"_MartinvanBuren_1_87",2
"_MartinvanBuren_1_88",5
"_MartinvanBuren_1_89",5
"_MartinvanBuren_1_90",5
"_MartinvanBuren_1_91",13
"_MartinvanBuren_1_92",10
"_MartinvanBuren_1_93",2
"_MartinvanBuren_1_94",2
"_MartinvanBuren_1_95",2
"_MartinvanBuren_1_96",2
"_MartinvanBuren_1_97",2
"_MartinvanBuren_1_98",2
"_MartinvanBuren_1_99",2
"_MartinvanBuren_1_100",2
"_MartinvanBuren_1_101",2
"_MartinvanBuren_1_102",2
"_MartinvanBuren_1_103",2
"_MartinvanBuren_1_104",2
"_MartinvanBuren_1_105",2
"_MartinvanBuren_1_106",2
"_MartinvanBuren_1_107",2
"_MartinvanBuren_1_108",13
"_MartinvanBuren_1_109",10
"_MartinvanBuren_1_110",7
"_MartinvanBuren_1_111",7
