"Name","PA","OBP"
"Everth Cabrera",391,0.272
"Bryan Holaday",171,0.266
"Pedro Alvarez",445,0.312
"Grant Green",103,0.282
"Logan Forsythe",336,0.287
"Jonathan Villar",289,0.267
"Carlos Sanchez",104,0.269
"Derek Jeter",634,0.304
"Billy Butler",603,0.323
"Jonny Gomes",321,0.327
"Justin Smoak",276,0.275
"Prince Fielder",178,0.36
"Mike Aviles",374,0.273
"Freddy Galvis",128,0.227
"Bobby Abreu",155,0.342
"Moises Sierra",170,0.265
"Carlos Gonzalez",281,0.292
"Ryan Howard",648,0.31
"Don Kelly",185,0.332
"Kevin Frandsen",236,0.299
"A.J. Ellis",347,0.323
"Avisail Garcia",190,0.305
"J.B. Shuck",114,0.168
"Hector Sanchez",177,0.237
"Adrian Nieto",118,0.296
"A.J. Pierzynski",362,0.288
"Juan Perez",109,0.224
"Mark Ellis",202,0.253
"Jose Tabata",186,0.314
"Donnie Murphy",128,0.268
"Rymer Liriano",121,0.289
"David Murphy",462,0.319
"Mitch Moreland",184,0.297
"Carlos Beltran",449,0.301
"Mike Carp",149,0.289
"Jesus Guzman",184,0.272
"Nick Castellanos",579,0.306
"Tony Cruz",150,0.27
"Cesar Hernandez",125,0.29
"Brayan Pena",372,0.291
"Mike Olt",258,0.248
"Grady Sizemore",381,0.299
"L.J. Hoes",136,0.23
"Nate McLouth",162,0.28
"Ryan Goins",193,0.209
"Ryan Ludwick",400,0.308
"Ryan Doumit",166,0.235
"Brendan Ryan",124,0.211
"Dayan Viciedo",563,0.281
"Reed Johnson",201,0.266
"Aaron Hill",541,0.287
"Alfredo Marte",114,0.221
"Will Middlebrooks",234,0.256
"Ryan Kalish",130,0.295
"Dan Uggla",157,0.229
"Javier Baez",229,0.227
"Marc Krauss",208,0.279
"Jordan Pacheco",165,0.299
"Josh Rutledge",342,0.323
"John Baker",208,0.273
"Junior Lake",326,0.246
"Carlos Quentin",155,0.284
"Raul Ibanez",280,0.264
"Chris Colabello",220,0.282
"James Jones",328,0.278
"Nate Schierholtz",383,0.243
"Tony Gwynn",127,0.264
"Jay Bruce",545,0.281
"Jason Kubel",176,0.313
"Alfonso Soriano",238,0.244
"Ryan Raburn",212,0.25
"Oscar Taveras",248,0.278
"Charlie Culberson",233,0.253
"Stephen Drew",300,0.237
"Alberto Callaspo",451,0.29
"Paul Konerko",224,0.254
"J.P. Arencibia",222,0.239
"Corey Hart",255,0.271
"Stefen Romero",190,0.234
"Leury Garcia",155,0.192
