"","ALXN","AMGN","ANIK","ARWR","BIIB","CASC","CBM","CELG","GILD","IMGN","INCY","NKTR","PGNX","REGN","RGEN","SPPI","SRPT","TECH","VRTX"
"1998-05-28",2.96875,13.084807,11.625,32.5,5.583333,99,12.047808,0.390625,1.012005,1.8437,18.125,15.8125,16.125,9.5,1.875,309.871277,40.5,7.389189,15
"1998-05-29",2.96875,13.044382,11.75,32.5,5.25,94.5,12.253168,0.414063,0.942839,1.8125,18.35935,16.5,16,9.3437,2,317.579529,42,7.606517,14.375
"1998-06-01",2.84375,12.882674,11.25,32.5,5.145833,92.25,12.212093,0.416667,0.94648,1.7812,17.75,15.25,16,9.625,1.9375,323.746124,40.875,7.334854,14.125
"1998-06-02",2.65625,13.367795,11.6875,32.5,5.104167,92.25,12.184716,0.411458,0.971962,1.7187,17.3906,15.5625,15.75,9.3125,1.6875,334.537659,40.5,7.17186,14
"1998-06-03",2.6875,13.28694,11.875,32.5,5.104167,94.5,12.184716,0.411458,0.957401,1.75,16.3125,15.25,15.9375,9.25,1.7812,339.162598,40.5,7.185421,13.65625
"1998-06-04",2.65625,13.381269,11.75,32.5,5.229167,90,12.253168,0.40625,0.971962,1.7187,16.75,15.1875,16,9.75,1.75,345.329193,40.312199,7.443522,13.625
"1998-06-05",2.6875,13.650784,11.75,32.5,4.541667,90.5616,12.225788,0.416667,0.971962,1.8125,16.375,15.1875,16.25,9.125,1.9375,359.20401,38.25,7.416355,13.4375
"1998-06-08",2.84375,13.731636,12,32.5,4.729167,90,12.212093,0.408854,0.986523,1.7812,16.0625,15.59375,16.25,9.3125,1.875,368.453918,39.75,7.525017,13.625
"1998-06-09",2.75,13.839442,12,32.5,4.708333,92.8116,12.129949,0.401042,0.979242,1.75,16.34375,14.9375,16.5,9.25,1.9375,345.329193,39.75,7.443522,14.34375
"1998-06-10",2.78125,13.691207,11.9375,32.5,4.75,91.123199,11.993045,0.421875,0.95012,1.7187,16.46875,13.71875,14.5,9,1.8125,368.453918,39.375,7.497851,14.1875
"1998-06-11",2.71875,13.650784,12,32.5,4.6875,92.25,11.828757,0.40625,0.931918,1.6875,16.625,14.3125,15.625,9.5937,1.5625,348.412476,37.5,7.117527,13.875
"1998-06-12",2.65625,13.704685,12,32.5,4.6875,88.873199,11.787683,0.403646,0.920998,1.625,16.375,14.4375,15.375,9,1.5,345.329193,36.75,7.144692,13.875
"1998-06-15",2.75,13.381269,12.5625,32.5,4.583333,83.25,11.363272,0.398438,0.935559,1.625,16.125,13.375,14.5,8.75,1.5937,345.329193,34.125,6.954529,13.25
"1998-06-16",2.78125,13.394743,12.9375,32.5,4.729167,85.5,11.568632,0.395833,1.008365,1.625,16.75,13.875,13.75,9,1.5625,342.24588,35.625,7.063195,13.6875
"1998-06-17",2.765625,13.435173,13.125,52,4.541667,87.75,11.472799,0.393229,0.964681,1.625,16.65625,15.625,14.9375,9.125,1.5625,354.579071,34.875,7.334854,13.90625
"1998-06-18",2.8125,13.367795,12.5,52,4.375,83.25,11.459109,0.411458,0.997444,1.625,16.375,13.8125,14.375,8.9375,1.5625,345.329193,36.75,7.688012,13.8125
"1998-06-19",2.84375,13.273462,13,45.5,4.270833,81,11.404346,0.427083,0.995624,1.625,16,13.625,14.8125,8.5,1.5625,351.495789,37.125,7.66085,13.78125
"1998-06-22",2.75,12.963526,12.875,45.5,4.1875,81,11.418036,0.4375,1.006545,1.6875,15.75,14.25,15.25,8.5,1.5,351.495789,37.125,7.66085,13.6875
"1998-06-23",2.78125,13.516028,12.75,45.5,4.208333,79.873199,11.459109,0.445313,1.004724,1.5937,16.48435,13.875,14.75,8.375,1.625,354.579071,38.25,7.389189,14.25
